"idTeam","Name","idDivision"
"1","Wolfsburg","1"
"2","Dortmund","1"
"3","Hertha","1"
"4","Hoffenheim","1"
"5","Mainz","1"
"6","Nurnberg","1"
"7","Werder Bremen","1"
"8","Bochum","1"
"9","Freiburg","1"
"10","Bayern Munich","1"
"11","Ein Frankfurt","1"
"12","FC Koln","1"
"13","Hamburg","1"
"14","Hannover","1"
"15","Leverkusen","1"
"16","Stuttgart","1"
"17","M'gladbach","1"
"18","Schalke 04","1"
"19","Kaiserslautern","1"
"20","St Pauli","1"
"21","Augsburg","1"
"22","Greuther Furth","1"
"23","Fortuna Dusseldorf","1"
"24","Braunschweig","1"
"25","Paderborn","1"
"26","Darmstadt","1"
"27","Ingolstadt","1"
"28","RB Leipzig","1"
