"idTeam","name","divisionName"
"1","Wolfsburg","1. Bundesliga"
"2","Dortmund","1. Bundesliga"
"3","Hertha","1. Bundesliga"
"4","Hoffenheim","1. Bundesliga"
"5","Mainz","1. Bundesliga"
"6","Nurnberg","1. Bundesliga"
"7","Werder Bremen","1. Bundesliga"
"8","Bochum","1. Bundesliga"
"9","Freiburg","1. Bundesliga"
"10","Bayern Munich","1. Bundesliga"
"11","Ein Frankfurt","1. Bundesliga"
"12","FC Koln","1. Bundesliga"
"13","Hamburg","1. Bundesliga"
"14","Hannover","1. Bundesliga"
"15","Leverkusen","1. Bundesliga"
"16","Stuttgart","1. Bundesliga"
"17","M'gladbach","1. Bundesliga"
"18","Schalke 04","1. Bundesliga"
"19","Kaiserslautern","1. Bundesliga"
"20","St Pauli","1. Bundesliga"
"21","Augsburg","1. Bundesliga"
"22","Greuther Furth","1. Bundesliga"
"23","Fortuna Dusseldorf","1. Bundesliga"
"24","Braunschweig","1. Bundesliga"
"25","Paderborn","1. Bundesliga"
"26","Darmstadt","1. Bundesliga"
"27","Ingolstadt","1. Bundesliga"
"28","RB Leipzig","1. Bundesliga"
