"idPlace","stadiumName","stateName","countryName"
"1","Volkswagen Arena","Niedersachsen","Germany"
"2","Signal Iduna Park","Nordrhein-Westfalen","Germany"
"3","Olympiastadion Berlin","Berlin","Germany"
"4","PreZero Arena","Baden-Württemberg","Germany"
"5","OPEL ARENA","Rheinland-Pfalz","Germany"
"6","Max-Morlock-Stadion","Bayern","Germany"
"7","Weser-Stadion","Bremen","Germany"
"8","Vonovia Ruhrstadion","Nordrhein-Westfalen","Germany"
"9","Schwarzwald-Stadion","Baden-Württemberg","Germany"
"10","Allianz Arena","Bayern","Germany"
"11","Commerzbank-Arena","Hessen","Germany"
"12","RheinEnergieSTADION","Nordrhein-Westfalen","Germany"
"13","Volksparkstadion","Hamburg","Germany"
"14","HDI Arena","Niedersachsen","Germany"
"15","BayArena","Nordrhein-Westfalen","Germany"
"16","Mercedes-Benz Arena","Baden-Württemberg","Germany"
"17","BORUSSIA-PARK","Nordrhein-Westfalen","Germany"
"18","VELTINS-Arena","Nordrhein-Westfalen","Germany"
"19","Fritz-Walter-Stadion","Rheinland-Pfalz","Germany"
"20","Millerntor-Stadion","Hamburg","Germany"
"21","WWK Arena","Bayern","Germany"
"22","Sportpark Ronhof","Bayern","Germany"
"23","MERKUR SPIEL-ARENA","Nordrhein-Westfalen","Germany"
"24","EINTRACHT-STADION","Niedersachsen","Germany"
"25","Benteler-Arena","Nordrhein-Westfalen","Germany"
"26","Merck-Stadion am Böllenfalltor","Hessen","Germany"
"27","Audi-Sportpark","Bayern","Germany"
"28","Red Bull Arena","Sachsen","Germany"
